Car_ID,Brand,Model,Year,Fuel_Type,Engine_Size,Mileage,Price
1,Honda,Civic,2019,Gasoline,1.5,99630,22500
2,Honda,Fit,2015,Gasoline,1.2,112845,10900
3,Audi,A6,2023,Diesel,2.8,43051,46000
4,Nissan,Rogue,2019,Diesel,1.4,66120,22200
5,Kia,Sorento,2024,Diesel,1.5,33478,35300
6,Honda,CR-V,2024,Gasoline,2.4,28239,38100
7,Mercedes,GLE,2016,Gasoline,3.7,112322,32500
8,Kia,Sportage,2020,Hybrid,1.7,76984,26200
9,Mercedes,E-Class,2022,Hybrid,2.8,60073,42000
10,Mercedes,C-Class,2020,Diesel,2.8,63019,41400
11,Ford,Mustang,2019,Diesel,1.4,98112,23000
12,Nissan,Rogue,2018,Gasoline,2.5,95277,17400
13,Honda,Accord,2017,Diesel,2.2,114725,16700
14,Volkswagen,Passat,2023,Gasoline,1.5,41223,35500
15,Audi,Q5,2020,Diesel,2.2,56051,44800
16,Hyundai,Sonata,2023,Electric,0.0,47833,34200
17,Mercedes,E-Class,2020,Gasoline,3.5,79157,36700
18,Honda,CR-V,2019,Gasoline,1.5,108779,17800
19,Honda,Fit,2016,Gasoline,2.5,94880,18500
20,BMW,X5,2023,Gasoline,3.7,51694,49800
21,Mercedes,GLE,2021,Electric,0.0,77184,39300
22,Mercedes,E-Class,2016,Gasoline,2.7,123248,26800
23,Toyota,Corolla,2016,Diesel,2.4,88909,16900
24,Ford,Mustang,2023,Electric,0.0,34976,33800
25,Mercedes,C-Class,2016,Diesel,3.3,115475,32900
26,Toyota,Camry,2015,Diesel,1.7,152540,8800
27,Mercedes,E-Class,2023,Diesel,2.9,42878,45300
28,Ford,Focus,2015,Gasoline,2.0,172200,6700
29,BMW,M4,2022,Hybrid,3.0,38626,46800
30,Hyundai,Santa Fe,2019,Diesel,1.7,68015,23000
31,Toyota,Camry,2020,Gasoline,1.3,56548,24500
32,BMW,3 Series,2024,Electric,0.0,26971,52500
33,Mercedes,C-Class,2024,Electric,0.0,32758,52700
34,Kia,Sportage,2019,Diesel,1.7,88014,19800
35,Toyota,Prius,2024,Hybrid,2.5,29670,34700
36,BMW,X5,2016,Diesel,3.8,105538,32400
37,Hyundai,Elantra,2023,Hybrid,1.6,38841,31000
38,Audi,A6,2019,Gasoline,2.6,94829,39100
39,Hyundai,Santa Fe,2019,Gasoline,2.4,65991,23700
40,Toyota,Camry,2020,Electric,0.0,60405,28000
41,Nissan,Altima,2016,Gasoline,1.3,127028,13800
42,Volkswagen,Jetta,2021,Gasoline,1.4,75182,29100
43,Mercedes,C-Class,2020,Electric,0.0,97040,36100
44,Mercedes,E-Class,2017,Gasoline,3.8,92872,33400
45,Nissan,Sentra,2019,Gasoline,1.4,77061,24100
46,Mercedes,E-Class,2022,Hybrid,2.7,45647,44500
47,Nissan,Rogue,2019,Diesel,2.3,79379,23300
48,Audi,Q5,2015,Diesel,2.2,111634,28000
49,Toyota,Camry,2024,Electric,0.0,28298,33600
50,Nissan,Sentra,2019,Diesel,1.3,65664,25800
51,Mercedes,GLE,2021,Electric,0.0,69244,40100
52,Hyundai,Tucson,2021,Hybrid,1.6,54161,28700
53,BMW,X5,2021,Diesel,3.1,55792,45200
54,Volkswagen,Tiguan,2022,Electric,0.0,64086,27500
55,Honda,CR-V,2023,Hybrid,2.1,49339,31000
56,Hyundai,Sonata,2018,Gasoline,1.4,83603,23100
57,Honda,Fit,2021,Diesel,2.4,61301,26100
58,Toyota,Camry,2021,Electric,0.0,45798,27400
59,Ford,Mustang,2022,Electric,0.0,67903,29300
60,Volkswagen,Passat,2023,Diesel,1.8,41609,31900
61,Hyundai,Santa Fe,2018,Gasoline,1.6,107878,17900
62,Kia,Sorento,2023,Diesel,1.3,46358,31100
63,Honda,Fit,2021,Gasoline,1.6,52680,28900
64,Volkswagen,Golf,2024,Diesel,1.7,25374,36400
65,Audi,A6,2022,Gasoline,2.4,50367,48000
66,Nissan,Sentra,2022,Hybrid,2.4,64242,30700
67,Toyota,Camry,2021,Gasoline,1.4,53786,27400
68,Ford,Escape,2020,Diesel,2.2,61265,27200
69,Toyota,Camry,2020,Gasoline,1.5,89456,22600
70,Mercedes,C-Class,2024,Gasoline,2.3,27680,51500
71,Hyundai,Tucson,2017,Gasoline,2.0,124341,15100
72,Honda,Civic,2019,Diesel,1.9,83293,21300
73,Honda,Accord,2016,Diesel,2.1,146438,9800
74,Volkswagen,Golf,2020,Hybrid,1.9,74045,22200
75,Nissan,Leaf,2016,Diesel,1.8,133278,13900
76,BMW,M4,2017,Diesel,3.5,120335,32400
77,Ford,Explorer,2021,Diesel,2.3,78614,23800
78,Hyundai,Santa Fe,2018,Diesel,2.2,88887,20300
79,BMW,M4,2018,Diesel,2.7,92269,37200
80,Hyundai,Elantra,2023,Diesel,2.4,42470,31700
81,Ford,Explorer,2022,Gasoline,2.2,47316,30300
82,Volkswagen,Tiguan,2022,Diesel,1.9,47567,30000
83,Hyundai,Tucson,2018,Gasoline,1.4,89755,21900
84,BMW,5 Series,2018,Diesel,3.5,114576,34300
85,Volkswagen,Tiguan,2016,Diesel,2.3,99392,16000
86,Toyota,Corolla,2019,Gasoline,1.3,90827,20000
87,Ford,Focus,2015,Diesel,1.9,129651,10500
88,Toyota,RAV4,2022,Diesel,1.3,41230,34000
89,Toyota,Corolla,2017,Diesel,2.3,81399,17800
90,Audi,E-tron,2024,Electric,0.0,27933,50100
