Car_ID,Brand,Model,Year,Fuel_Type,Engine_Size,Mileage,Price
1,Honda,Civic,2019,Gasoline,1.5,99630.0,22500.0
2,Honda,Fit,2015,Gasoline,1.2,112845.0,10900.0
3,Audi,A6,2023,Diesel,2.8,43051.0,46000.0
4,Nissan,Rogue,2019,Diesel,1.4,66120.0,22200.0
5,Kia,Sorento,2024,Diesel,1.5,33478.0,35300.0
6,Honda,CR-V,2024,Gasoline,2.4,28239.0,38100.0
7,Mercedes,GLE,2016,Gasoline,3.7,112322.0,32500.0
8,Kia,Sportage,2020,Hybrid,1.7,76984.0,26200.0
9,Mercedes,E-Class,2022,Hybrid,2.8,60073.0,42000.0
10,Mercedes,C-Class,2020,Diesel,2.8,63019.0,41400.0
11,Ford,Mustang,2019,Diesel,1.4,98112.0,23000.0
12,Nissan,Rogue,2018,Gasoline,2.5,95277.0,17400.0
13,Honda,Accord,2017,Diesel,2.2,114725.0,16700.0
14,Volkswagen,Passat,2023,Gasoline,1.5,41223.0,35500.0
15,Audi,Q5,2020,Diesel,2.2,56051.0,44800.0
16,Hyundai,Sonata,2023,Electric,0.0,47833.0,34200.0
17,Mercedes,E-Class,2020,Gasoline,3.5,79157.0,36700.0
18,Honda,CR-V,2019,Gasoline,1.5,108779.0,17800.0
19,Honda,Fit,2016,Gasoline,2.5,94880.0,18500.0
20,BMW,X5,2023,Gasoline,3.7,51694.0,49800.0
21,Mercedes,GLE,2021,Electric,0.0,77184.0,39300.0
22,Mercedes,E-Class,2016,Gasoline,2.7,123248.0,26800.0
23,Toyota,Corolla,2016,Diesel,2.4,88909.0,16900.0
24,Ford,Mustang,2023,Electric,0.0,34976.0,33800.0
25,Mercedes,C-Class,2016,Diesel,3.3,115475.0,32900.0
26,Toyota,Camry,2015,Diesel,1.7,152540.0,8800.0
27,Mercedes,E-Class,2023,Diesel,2.9,42878.0,45300.0
28,Ford,Focus,2015,Gasoline,2.0,172200.0,6700.0
29,BMW,M4,2022,Hybrid,3.0,38626.0,46800.0
30,Hyundai,Santa Fe,2019,Diesel,1.7,68015.0,23000.0
31,Toyota,Camry,2020,Gasoline,1.3,56548.0,24500.0
32,BMW,3 Series,2024,Electric,0.0,26971.0,52500.0
33,Mercedes,C-Class,2024,Electric,0.0,32758.0,52700.0
34,Kia,Sportage,2019,Diesel,1.7,88014.0,19800.0
35,Toyota,Prius,2024,Hybrid,2.5,29670.0,34700.0
36,BMW,X5,2016,Diesel,3.8,105538.0,32400.0
37,Hyundai,Elantra,2023,Hybrid,1.6,38841.0,31000.0
38,Audi,A6,2019,Gasoline,2.6,94829.0,39100.0
39,Hyundai,Santa Fe,2019,Gasoline,2.4,65991.0,23700.0
40,Toyota,Camry,2020,Electric,0.0,60405.0,28000.0
41,Nissan,Altima,2016,Gasoline,1.3,127028.0,13800.0
42,Volkswagen,Jetta,2021,Gasoline,1.4,75182.0,29100.0
43,Mercedes,C-Class,2020,Electric,0.0,97040.0,36100.0
44,Mercedes,E-Class,2017,Gasoline,3.8,92872.0,33400.0
45,Nissan,Sentra,2019,Gasoline,1.4,77061.0,24100.0
46,Mercedes,E-Class,2022,Hybrid,2.7,45647.0,44500.0
47,Nissan,Rogue,2019,Diesel,2.3,79379.0,23300.0
48,Audi,Q5,2015,Diesel,2.2,111634.0,28000.0
49,Toyota,Camry,2024,Electric,0.0,28298.0,33600.0
50,Nissan,Sentra,2019,Diesel,1.3,65664.0,25800.0
51,Mercedes,GLE,2021,Electric,0.0,69244.0,40100.0
52,Hyundai,Tucson,2021,Hybrid,1.6,54161.0,28700.0
53,BMW,X5,2021,Diesel,3.1,55792.0,45200.0
54,Volkswagen,Tiguan,2022,Electric,0.0,64086.0,27500.0
55,Honda,CR-V,2023,Hybrid,2.1,49339.0,31000.0
56,Hyundai,Sonata,2018,Gasoline,1.4,83603.0,23100.0
57,Honda,Fit,2021,Diesel,2.4,61301.0,26100.0
58,Toyota,Camry,2021,Electric,0.0,45798.0,27400.0
59,Ford,Mustang,2022,Electric,0.0,67903.0,29300.0
60,Volkswagen,Passat,2023,Diesel,1.8,41609.0,31900.0
61,Hyundai,Santa Fe,2018,Gasoline,1.6,107878.0,17900.0
62,Kia,Sorento,2023,Diesel,1.3,46358.0,31100.0
63,Honda,Fit,2021,Gasoline,1.6,52680.0,28900.0
64,Volkswagen,Golf,2024,Diesel,1.7,25374.0,36400.0
65,Audi,A6,2022,Gasoline,2.4,50367.0,48000.0
66,Nissan,Sentra,2022,Hybrid,2.4,64242.0,30700.0
67,Toyota,Camry,2021,Gasoline,1.4,53786.0,27400.0
68,Ford,Escape,2020,Diesel,2.2,61265.0,27200.0
69,Toyota,Camry,2020,Gasoline,1.5,89456.0,22600.0
